questions,answers
can you manage chopsticks,why not see
i am exhausted,okay let s go home
no we do not,how many of you please
how many of you please,six including two kids
i like chinese food,but your american
of course sir no problem,thanks
may i sit here,by all means
that is fine,ok give me your address
is tom here,speaking
looks like dinner s ready,just about
right away sir,is this amount correct
is this amount correct,yes sir it is
did anyone call,just mr white
just mr white,what did he want
thank you,you are welcome
that is fine,your total comes to dollars
your total comes to dollars,here s
where did you hit it,right here see the scratch
that is all right,how are you
how are you,fine and you
for what day,tuesday morning
mrs sue,yes
hi this is tome smith,yes mr smith
yes mr smith,is my vcr ready
what is for lunch,pork chops
what is your address sir,i live at park street
are you sure,yes it s ok
hello is sue there,who
who,sue john
is this,no this is
no this is,oh i am sorry
oh i am sorry,that is all right
is tom in,wrong number
no it is not,oh i am sorry
let s eat out,good idea
help help,what is the matter
does this bus go there,i think so
i think so,let s step in dad
let s step in dad,no it s too crowded
no it s too crowded,dad here comes another bus
let me see it depends,depends depends on what
let s go,where to
somebody please answer the phone,i have got it
it was after am,who was he out with
are you ready to leave,give me a sec
shall we buy,it really depends on you
it really depends on you,but if you were me
what are you eating,rice
rice,why
okay i will take one,that will be sir
let s eat out,why not
what are you doing tomorrow,i am going to work
did you win,of course
hang out the clothes,but it s raining
do you play mahjong,once in a while
hello mr brown,hello can you help me
here comes the bus,it s about time
get up you lazybones,just a minute
i have already started,when
when,this afternoon
is there a doctor here,no
no,can you call an ambulance
can you call an ambulance,sure what is happened
certainly you are welcome anytime,see you later
welcome come in please,yes
anytime you like,ok
yes for the last years,good
he is going too slow,pass him
how s the chicken,it s delicious
i come home for lunch,how long have you got
how long have you got,only hour
thanks very much,you are welcome
we are broke,i can not believe it
who broke my chair,it was not me
where did this come from,i have no idea
oh you re so kind,get in
these are new arrivals,let me have a look
let me have a look,try them if you like
can you guarantee the quality,yes absolutely
yes absolutely,where are the panty hose
taxi,yes sir where to
yes sir where to,wangfujing please
wangfujing please,all right
oh good,there is a football match
may i speak to peter,who s calling
it s so boring,do not you like it
what is the movie,star war
star war,it must be interesting
it must be interesting,yes you are right
dad it s raining outside,that is your excuse
can not i play more,no stop playing computer games
may i have a cookie,help yourself
hurry up will you,what is the rush
sorry i am late,it does not matter
yes it is,do i have to change
thanks a lot,you are welcome
two burgers please,for here or to go
divided by equals,you got it good job
how was your test,it was bad
sword say it sword,what does this word mean
are you sick,i feel dizzy
i feel dizzy,let me take your temperature
where are you off to,the movies
have you got a minute,sure what is up
who is the next one,it s peter s turn
it s peter s turn,give the mike to him
give the mike to him,ok
ok,be quiet he is singing
i would not do that,but i like the feeling
i like popular music best,me too
me too,who is your favorite singer
who is your favorite singer,qi in is
qi in is,do you know this song
who s it for,it s for you
how much does this cost,sixty dollars
may i use your phone,go ahead
where is the toilet,over there
i am fine dad,did you get hit
stop burping,i can not help it
mom can i watch tv,no more today honey
potatoes tomatoes and cucumber,do you feed rabbits
how much was your watch,take a guess
small size,any particular brand
how much would you say,
no problem,i ll take this one
let me show you,thanks
thanks for your help,no problem
what is on tv tonight,nothing special
thank you very much,it s my honor
do you like reading magazines,no i do not
no i do not,why
do you have magazines now,yes i do
yes i do,can you lend me one
can you lend me one,sure here you are
here you are,have a nice trip
yes i do,could you lend me one
could you lend me one,ok here you are
you are right,do you know the news
do you know the news,which one
which one,brazil wins the world cup
brazil wins the world cup,yes i see
yes of course,one kilogram too
one kilogram too,anything else
anything else,no thanks
rise and shine,ok i know
oh that hurts,i think it s bleeding
may i have a try,certainly
what about other brands,how about this one
it s made in jingdezhen,how much is it
how much is it,one thousand eight hundred yuan
maybe sandalwood fan is good,would you show me some
would you show me some,of course
i am afraid not,ok here you are
how much is it,frances
yes several times,how do you like them
how do you like them,not bad
where is your dressing room,right over there
sure here you go,let me think about it
let me think about it,sure take your time
early this morning,oh no
thanks,you are welcome
thank you,not at all
that is good,what is your favorite color
thank you anything else,no thanks
what happened,i spilled my drink
i am going crazy,what is the matter
get me some of each,ok here you are
ann it s terrible,what is up
what is up,look this is a pimple
look this is a pimple,oh i think it is
oh i think it is,how come
how long will it take,about to minutes
about to minutes,thanks
how s your new car,perfect could not be better
really,and not expensive either
everybody is buying them,are they
he is really outrageous,what happened
i have got them,thanks
do you like it,yes how much is it
yes how much is it,fifty yuan
fifty yuan,ok i will take it
yuan,ok i will take it
can i help you,i need some stamps
i must weigh it,how much is it overweight
wow you look great,thanks for noticing
thanks for the advice,no problem
oops,what happened
what happened,i overcooked the corn
ok it s yuan,here you are
what is the brand,san yuan
i had a busy morning,what did you do
what did you do,i watered all the plants
then i did my laundry,that takes some time
ten more minutes mom,what time is it now
what time is it now,it s already o clock
peter take off your pajamas,what should i wear today
fine i will sit here,would you like some drinks
what is the secret then,it lies in perseverance
ok here you are,thank you
is bob home,hold on
hello,hello is that stefan
sorry again for bothering you,that is all right
ok i will do that,thank you very much bye
thank you very much bye,you are welcome bye
hello,is that sue
is that sue,speaking
speaking,a this is george
a this is george,hello george what s up
turn on the shower,it s getting cold
i know mom,have you got everything
but it s still early,do not stay up late
a draft beer please,ok here you are
ok here you are,could i have some fruit
i will do it later,go and do it now
here is the wine list,thanks
thanks,what would you like
what would you like,what do you recommend
what do you recommend,what about cocktail
ok let me try it,here you are sir
here you are sir,thank you
ok this way please,you look so busy
yes you are right,how long ago
how long ago,about two months
one hundred yuan please,here you are
here you are,thank you
couple of minutes,great how much
what is in it please,some books and newspapers
thank you,you are welcome
photograph or document,document
document,show me your document please
show me your document please,here you are
let me see eleven yuan,here s twenty yuan
here s twenty yuan,this is your change
just some souvenirs,ok that will be ok
ok that will be ok,thank you
where is it made,it s made in china
it s made in china,is it expensive
is it expensive,not very expensive
not very expensive,i will take this one
thank you,not at all
that is fine,your total comes to
what is the problem,the water will not drain
this tv is,you can not be serious
by how much,i will buy it for
good morning sir,morning
you can come later,what is the time now
what is the time now,it s half past seven
why,her father is dying
her father is dying,oh that s very sad
no sharon stone did,and sharon stone is batwoman
not much i started exercising,trying to get in shape
let me see,is it serious
is it serious,no the damage is minor
p m,ok thank you
regular or unleaded,unleaded my car is new
yes please,you are a quart low
yes right over here,how much are they
thanks a lot,you re welcome
just a few cookies,that is fine with me
ok the postage is yuan,here you go
thank you,how do you keep fit
anything else,yes i often go swimming
yes i often go swimming,are you interested in swimming
how much are the roses,per dozen
how often do you exercise,well i walk every day
is there a problem,i would like to reschedule
is okay,your delivery has been confirmed
ok what name please,this is peter kaufman
this is peter kaufman,can you spell that please
really great,here we are
here we are,here is the money
yes because i love yours,i purchased mine from ikea
i purchased mine from ikea,is ikea affordable
go and try it on,what do you think
is there a problem,it s broken
i am just shopping,what are you shopping for
here s my visa,thank you
what do you think,it looks great
here take my credit card,just sign here please
just sign here please,sure here you go
i have a problem,what is the problem
how much is this shirt,yuan
that is a wonderful idea,outlets have more reasonable prices
outlets have more reasonable prices,thank you for your help
thank you for your help,no problem good luck
what size do you wear,medium i think
do you like this one,it seems too short
it seems too short,what about this one
yuan,is there any cheaper one
is there any cheaper one,this one is only yuan
all right,here is the money
here is the money,thank you anything else
thank you anything else,no thanks
pure gold ones please,ok here they are
really what is that,everything for summer is off
yuan,here you are
what an excellent idea,shall we do some jogging
shall we do some jogging,ok
ok,i feel well now
what is wrong with you,i feel so tired
the round shape pair,that is right
i agree how much,yuan
okay i will do that,thank you bye bye
thank you bye bye,you are welcome bye
are you sure,yes sir
ok here you are,how much is it
how much is it,thirty five yuan
thirty five yuan,here is the money
here is the money,thanks nothing else today
thanks nothing else today,nothing else thank you
and the forks and spoons,they re in that drawer
may i help you,i am just browsing thanks
excuse me,yes can i help you
when can i come over,would friday morning be alright
would friday morning be alright,ok good bye
ok good bye,good bye
