questions,answers
good let s go now,all right
all right,can you do push ups
you mean push ups,yeah
oh yeah which team,the rockets
right congratulations,thank you
thank you,hi becky what is up
certainly,anyone home jen
you will,oh
she will be next month,that is truly amazing
so baltimore is winning,right
do you have a light,sorry i do not smoke
i do not believe you,it s true
it s true,you are funny
can i stop by,sure any time
see you then,see you
poor girl,you look pale recently
take good care of yourself,thank you i will
sounds good let s go,what is wrong with him
on the contrary very exciting,i feel so uncomfortable
i feel so uncomfortable,are you sick
yes yuan per month,oh no
oh no,how dreadful
i like baseball and basketball,how about football
great,what upsets you
and it s a brick,yes
by how many minutes,two
two,hey mary what is up
fine i want a divorce,why are you shivering
why are you shivering,it s freezing
no please feel free,thanks a lot
thanks a lot,do you work in shanghai
yeah that is it,thanks
it was a nightmare,what s up
you are lucky,happy anniversary sweetheart
how about seconds victor,no thanks i am full
i would love to,let s say about
let s say about,that is ok with me
that is ok with me,cigarette
well rose,is there something any need
is there something any need,are your free this weekend
i am studying medicine,really where
really where,at harvard what about you
about million dollars,whoa
have you seen that house,yes it looks interesting
she can not answer you,she must be deaf
frightened you must be joking,have you got any hobbies
you re right,the music has started
pardon,what university would you enter
oh i forget sorry,i went to harvard university
really what was the matter,you knew brain locker
where are you from,i am from guangzhou
i am from guangzhou,where in china is guangzhou
ok goodbye,see you later
good morning miss li,morning mike
i will,do you like flowers
do you like flowers,of course i like
of course i like,what is your favorite flower
spring is a lively season,yes how about you
very few unfortunately,how was your game today
the concert was really great,i agree
cut out would you,when s your birthday
he is working too hard,which church do you attend
when was that,sometime this morning
sometime this morning,would it be full now
would it be full now,i am really not sure
merry christmas linda,merry christmas lee
where is your better half,she is at home
today,today
today,yes
very much what time,about
such a thing exists,fortunately yes you are blushing
i have confidence in them,the weekend s finally here
thank you,really going to miss you
thank you,look after yourself bye
look after yourself bye,bye
yes i did did you,yes was not it funny
sure,thanks
thanks,did you see may today
you are dancing so well,you dance beautifully too
have you checked the computer,i have already
i have already,what did it say
sure i would love to,which film shall we see
yes that is true,how long is the holiday
well thanks for the suggestions,oh do not mention it
oh do not mention it,dad what is the date
dad what is the date,it s december eighteenth
what happen john,nothing
nothing,why do you look unhappy
she will be fine,is sailing fun
is sailing fun,you bet
good morning loans,good morning mr smith
ok,lousy weather is not it
ok they begin to register,it s time i left
much better than mine,what are your hours
i m a doctor,really do you like it
i m a bus driver,oh do you enjoy it
cheese,did it come out
oh thanks a lot,what time are you leaving
what airline and what flight,pan american airlines flight
eight,what time
did not i,you know you did not
hi bill,hi jim
see you later alligator,after a while crocodile
it s by my watch,is your watch right
are you angry lisa,angry why would i be
i would not say so,what do you mean
is everything alright,yes everything is fine
i appreciate that thank you,what date is it today
what date is it today,today is december
no just come here,ok see you later
ok see you later,bye
luckily that was nothing serious,thank god
what day is today,it s thursday i think
what day is it today,it s friday
i transferred from another school,where did you transfer from
where did you transfer from,i was at pcc before
i was at pcc before,why did you transfer
really he looks so young,hello steven congratulations
hello steven congratulations,thank you
thank you,how s your married life
mam another minute could i,hurry up little boy
sure good luck maria,where did you go yesterday
look is that tom,my girlfriend dumped me
my girlfriend dumped me,well that is life
well that is life,did roll win the race
oh yes,it s true sir
it s true sir,hey this is your order
good idea thanks a billion,let s go in
let s go in,after you
oh i forget sorry,i went to harvard university
hi mark,hi
yes when,is am ok
ok how about pm,ok where
oh where is that,it s on th street
how have you been,fine thanks how about you
good morning mary,good morning john
i know,why you make me confused
how respectable,how may i help you
jim,yes
no problem,what is the tallest building
thanks professor see you later,see you later drive carefully
nice to meet you too,where are you from
i totally understand,good morning jim
what did the whetherman say,he s predicting clear skies
she is so stupid,who cares she is pretty
who cares she is pretty,so what
so what,you are just jealous
my brother did it,why
he is a team player,yes indeed
i failed my oral test,how come
how come,i am not practicing enough
i don t understand,it s our policy
it s our policy,what can i check out
what can i check out,only books or videos
only books or videos,i need this magazine
that s weird,have you heard the news
have you heard the news,no what happened
that is better,hello
that will be great,that was heaven
give it to me,what is it
what is it,it s from nyu
it s from nyu,what does it say
what does it say,i didn t get accepted
i didn t get accepted,you can t be serious
you can t be serious,i m serious
i m serious,are you all right
are you all right,nyu was my first choice
um,and a company car
and a company car,very nice
that is right,when did you arrive here
when did you arrive here,last night
merry christmas bill,merry christmas steven
who broke the glass peter,that cat
thanks i will byebye,where should i sit
you re ready right,ready for what
yes i am ready,you re not nervous
you re not nervous,of course i m nervous
eh so so,and this one too flashy
and this one too flashy,nah not too flashy
and merry christmas,merry christmas
you got it,thanks a lot
thanks a lot,you are welcome
how was the party yesterday,did you enjoy it
what re you doing now,i m watching tv
yeah i will,you look pale today
really congratulations,thank you paul
can you tell the result,it s love all
see you then,ok bye
lovely day is not it,oh yes beautiful
laura,do you like this place
if you say so,hi
yeah,it kept me awake
it kept me awake,oh i am sorry
mothers like that,hey bob whatchy doing
hey bob whatchy doing,i am at home painting
hi martha everything is perfect,are you enjoying married life
is not it a sunday,no it s a monday
right,what are you reading
sure,tell me then
tell me then,bbs means bulletin board service
a lot of things,tell me in details
why not,any plans tonight
any plans tonight,not really do you
just did my best,how may i help you
what happened to this one,the cover came off
how much are you talking,it s going to be
it really isn t,here you go
here you go,thank you very much
certainly,when will you be free
when will you be free,come by any time
is that mr green,this is him speaking
no i m serious,what s the date today
peter and mary broke up,are you serious
are you serious,i had a wonderful evening
i will,do you know sally
hi nice to meet you,nice to meet you too
i am a doctor,oh where do you work
i am a teacher,what do you teach
what do you teach,i teach english
i teach english,where
eighteen,what about your sister
do you miss your family,yes
yes,do you often go home
once a week,i am terribly nervous
i am terribly nervous,calm down
