questions,answers
say jim how about going for a few beers after dinner,you know that is tempting but is really not good for our fitness
you know that is tempting but is really not good for our fitness,what do you mean it will help us to relax
good let s go now,all right
all right,can you do push ups
really i think that is impossible,you mean push ups
you mean push ups,yeah
yeah,it s easy if you do exercise everyday you can make it too
it s easy if you do exercise everyday you can make it too,can you study with the radio on
can you study with the radio on,no i listen to background music
no i listen to background music,what is the difference
what is the difference,the radio has too many comerials
the radio has too many comerials,that is true but then you have to buy a record player
that is true but then you have to buy a record player,are you all right
do not worry he is an acrobat,i see
i see,hey john nice skates are they new
yeah you re a pretty big guy i play goalie myself,oh yeah which team
oh yeah which team,the rockets
all right see you later,hey lydia what are you reading
frank s getting married do you believe this,is he really
is he really,yes he is he loves the girl very much
yes he is he loves the girl very much,who is he marring
who is he marring,a girl he met on holiday in spain i think
a girl he met on holiday in spain i think,have they set a date for the wedding
have they set a date for the wedding,not yet
not yet,i hear you bought a new house in the northern suburbs
i hear you bought a new house in the northern suburbs,that s right we bought it the same day we came on the market
that s right we bought it the same day we came on the market,what kind of house is it
what kind of house is it,it s a wonderful spanish style
it s a wonderful spanish style,oh i love the roof tiles on spanish style houses
that s a nice area too it ll be a good investment for you,yeas when will you buy a house
yeas when will you buy a house,not untill the end of this year you know just before my wedding
not untill the end of this year you know just before my wedding,right congratulations
right congratulations,thank you
thank you,hi becky what is up
hi becky what is up,not much except that my mother in law is driving me up the wall
not much except that my mother in law is driving me up the wall,what is the problem
that sounds like a good idea i will have to try that,how are zina s new programmers working out
it will be close but we will make it,good after stars com starts paying us we will not need vikam s cash anymore
good after stars com starts paying us we will not need vikam s cash anymore,and if we do not need them we will not need zina either
and if we do not need them we will not need zina either,do you like cooking
do you like cooking,yes i like cooking very much i got this hobby when i was years sold
yes i like cooking very much i got this hobby when i was years sold,why do you like it
why do you like it,i have no idea i like cooking by myself i like to taste delicious food
i have no idea i like cooking by myself i like to taste delicious food,that is wonderful
certainly,anyone home jen
anyone home jen,i am in the kitchen let yourself in
i am in the kitchen let yourself in,wow you are really working up a storm
wow you are really working up a storm,i know i have even worked up a sweat
i know i have even worked up a sweat,you look like a cooking show host only messier
you look like a cooking show host only messier,you look so tan and healthy
you look so tan and healthy,thanks i just got back from summer camp
thanks i just got back from summer camp,how was it
how was it,great i got to try so many things for the first time
great i got to try so many things for the first time,like what
like what,i went sailing fishing and horseback riding
i went sailing fishing and horseback riding,i m so jealous
diana do you like the perfume i gave you,it s good but to tell you the truth i don t wear perfume
it s good but to tell you the truth i don t wear perfume,i m sorry i didn t know that
i m sorry i didn t know that,that s all right thank you all the same
that s all right thank you all the same,ah ah ah
ah ah ah,all right bill here s your daily exercise schedule you are to jog before breakfast
all right bill here s your daily exercise schedule you are to jog before breakfast,jog
jog,then you are to walk to work
then you are to walk to work,walk
walk,thirty minutes in gym at lunch time
thirty minutes in gym at lunch time,oh no
oh no,use the stairs never the elevator
use the stairs never the elevator,oh dear
oh dear,and three times a week you can either swim play racketball or hand ball
and three times a week you can either swim play racketball or hand ball,oh no
oh no,ok you can stop now it s time for the dance class
ok you can stop now it s time for the dance class,dance class i do not know how
dance class i do not know how,you will
you will,oh
oh,hi bill i saw your grandma yesterday
hi bill i saw your grandma yesterday,oh where was that
well it pays off for her how old is she anyway,she will be next month
she will be next month,that is truly amazing
that is truly amazing,i would like to register for a class today
i would like to register for a class today,no problem what class would you like to take
no problem what class would you like to take,i would very much enjoy taking a psychology class because i am crazy
i would very much enjoy taking a psychology class because i am crazy,there are two classes that are still open
there are two classes that are still open,which days are these classes on
which days are these classes on,the first class is a tuesday and thursday class from two to three
the first class is a tuesday and thursday class from two to three,what about the other class
what about the other class,the other class is on monday and wednesday from am
the other class is on monday and wednesday from am,are you sure there are no more open classes
are you sure there are no more open classes,i am positive
i am positive,sign me up for monday and wednesday
sign me up for monday and wednesday,okay i will sign you up
okay i will sign you up,dad why are you taping the windows
dad why are you taping the windows,honey a typhoon is coming
honey a typhoon is coming,really wow i do not have to go to school tomorrow
really wow i do not have to go to school tomorrow,jenny come and help we need to prepare more food
jenny come and help we need to prepare more food,ok dad i am coming
ok dad i am coming,hi my name is lean and i am from russia
hi my name is lean and i am from russia,nice to meet you lean my name is alike i am from japan
nice to meet you lean my name is alike i am from japan,to me english is a difficult language
to me english is a difficult language,a second language is always difficult
a second language is always difficult,true but english is harder than most it s a crazy language
true but english is harder than most it s a crazy language,a crazy language why do you say that
a crazy language why do you say that,one letter can have several pronunciations and one word can have several meanings
one letter can have several pronunciations and one word can have several meanings,no wonder you say english is a crazy language
no wonder you say english is a crazy language,can i help you
i will certainly try to help you what topic is your paper on,my paper is on the influence of television on children
thank you for you help,here s your hot dog and beer what happened did i miss anything
here s your hot dog and beer what happened did i miss anything,yeah cal ripen just hit a home run
yeah cal ripen just hit a home run,what s the score
so baltimore is winning,right
right,this is a really great place to watch a baseball game
this is a really great place to watch a baseball game,yeah there isn t a bad seat in the place
yeah there isn t a bad seat in the place,the fans are great here too not like in philadelphia
the fans are great here too not like in philadelphia,it was a great idea to spend a day watching a game
it was a great idea to spend a day watching a game,yeah it reminds you why they say baseball is america s favorite pastime
yeah it reminds you why they say baseball is america s favorite pastime,how do you like the pizza here
how do you like the pizza here,perfect it really hits the spot
perfect it really hits the spot,do you have a light
do you have a light,sorry i do not smoke
sorry i do not smoke,i was scared stiff of giving my first performance
i was scared stiff of giving my first performance,were you your performance was excellent
were you your performance was excellent,thank you for your kindly words
thank you for your kindly words,excuse me could you please take a picture of us with this camera
excuse me could you please take a picture of us with this camera,sure which button do i press to shoot
sure which button do i press to shoot,this one
this one,do i have to focus it
all right say cheese,every country should face the history
but there is always somebody who wants to turn his back on the true history,i believe such things won t be realized just daydreaming
